id,category,priority,description,solution,prompt
TICKET-0001,Demande d'information,Normale,Demande d'aide pour utiliser le système.,Fourniture de la documentation appropriée et explication détaillée.,"Catégorie: Demande d'information
Priorité: Normale
Description: Demande d'aide pour utiliser le système.
Solution: Fourniture de la documentation appropriée et explication détaillée.
Statut: Résolu"
TICKET-0002,Accès refusé,Basse,Impossible d'accéder à l'application - Permissions insuffisantes.,Vérification des permissions utilisateur et mise à jour des droits d'accès.,"Catégorie: Accès refusé
Priorité: Basse
Description: Impossible d'accéder à l'application - Permissions insuffisantes.
Solution: Vérification des permissions utilisateur et mise à jour des droits d'accès.
Statut: Résolu"
TICKET-0003,Problème technique,Normale,L'utilisateur 3 rencontre un dysfonctionnement avec l'interface.,Vérification des logs système et redémarrage du service concerné.,"Catégorie: Problème technique
Priorité: Normale
Description: L'utilisateur 3 rencontre un dysfonctionnement avec l'interface.
Solution: Vérification des logs système et redémarrage du service concerné.
Statut: Résolu"
TICKET-0004,Récupération de mot de passe,Basse,Problème de catégorie Récupération de mot de passe pour l'utilisateur 4.,Solution en cours d'élaboration.,"Catégorie: Récupération de mot de passe
Priorité: Basse
Description: Problème de catégorie Récupération de mot de passe pour l'utilisateur 4.
Solution: Solution en cours d'élaboration.
Statut: Résolu"
TICKET-0005,Erreur de connexion,Normale,Échec de connexion au serveur web - Timeout après 42 secondes.,Test de connectivité réseau et reconfiguration des paramètres.,"Catégorie: Erreur de connexion
Priorité: Normale
Description: Échec de connexion au serveur web - Timeout après 42 secondes.
Solution: Test de connectivité réseau et reconfiguration des paramètres.
Statut: Résolu"
TICKET-0006,Demande d'information,Critique,Demande d'aide pour configurer le système.,Fourniture de la documentation appropriée et explication détaillée.,"Catégorie: Demande d'information
Priorité: Critique
Description: Demande d'aide pour configurer le système.
Solution: Fourniture de la documentation appropriée et explication détaillée.
Statut: Résolu"
TICKET-0007,Formation utilisateur,Haute,Problème de catégorie Formation utilisateur pour l'utilisateur 7.,Organisation de session de formation et création de guides.,"Catégorie: Formation utilisateur
Priorité: Haute
Description: Problème de catégorie Formation utilisateur pour l'utilisateur 7.
Solution: Organisation de session de formation et création de guides.
Statut: Résolu"
TICKET-0008,Accès refusé,Basse,Impossible d'accéder à l'application - Permissions insuffisantes.,Vérification des permissions utilisateur et mise à jour des droits d'accès.,"Catégorie: Accès refusé
Priorité: Basse
Description: Impossible d'accéder à l'application - Permissions insuffisantes.
Solution: Vérification des permissions utilisateur et mise à jour des droits d'accès.
Statut: Résolu"
TICKET-0009,Performance lente,Basse,Temps de réponse très élevé lors de la recherche - 17 secondes.,Optimisation des requêtes et vérification de la charge serveur.,"Catégorie: Performance lente
Priorité: Basse
Description: Temps de réponse très élevé lors de la recherche - 17 secondes.
Solution: Optimisation des requêtes et vérification de la charge serveur.
Statut: Résolu"
TICKET-0010,Demande d'information,Haute,Demande d'aide pour utiliser la fonctionnalité.,Fourniture de la documentation appropriée et explication détaillée.,"Catégorie: Demande d'information
Priorité: Haute
Description: Demande d'aide pour utiliser la fonctionnalité.
Solution: Fourniture de la documentation appropriée et explication détaillée.
Statut: Résolu"
